prenom_cle,exemple_auteur_complet,genre_estime
abdelaziz,Abdelaziz Bensrhair,unknown
abdelfettah,Abdelfettah Feliachi,unknown
abdelghani,Abdelghani Bellaachia,unknown
abdelhadi,Abdelhadi Fennan,unknown
abdelhakim,Abdelhakim Artiba,unknown
abdelhamid,Abdelhamid Boudane,unknown
abdelheq,Abdelheq Et-tahir Guettala,unknown
abdeljalil,Abdeljalil Elouardighi,unknown
abdelkader,Abdelkader Benameur,unknown
abdellah,Abdellah Sabry,male
abdelmajid,Abdelmajid Ben Hamadou,unknown
abdelmalek,Abdelmalek Toumi,unknown
abdenour,Abdenour Mokrane,unknown
abder,Abder Elmoatz,unknown
abderrahim,Abderrahim El Qadi,unknown
abderrahmane,Abderrahmane Maaradji,unknown
abdessamad,Abdessamad Outerqiss,unknown
abdoul-djawadou,Abdoul-Djawadou Salaou,unknown
abdoulaye,Abdoulaye Sarr,unknown
abdourahamane,Abdourahamane Baldé,unknown
abdulhafiz,Abdulhafiz Alkhouli,unknown
abdullah,Abdullah Almaksour,male
abir,Abir Saïd,female
adel,Adel Lablack,male
adeline,Adeline Nazarenko,female
adina,Adina Magda Florea,female
adnan,Adnan El Moussawi,male
adrian,Adrian Tanasescu,male
adriana,Adriana Prado,female
adrien,Adrien Guille,male
afef,Afef Zenned,unknown
aghiles,Aghiles Salah,unknown
agnès,Agnès Braud,female
ahlame,Ahlame Douzal-Chouakria,unknown
ahlem,Ahlem Othmani,unknown
ahmed,Ahmed Amrani,male
aichetou,Aichetou Bouchareb,unknown
aimene,Aimene Belfodil,unknown
aladine,Aladine Chetouani,unknown
alain,Alain Simac-Lejeune,male
alain-jérôme,Alain-Jérôme Fougères,unknown
alain-pierre,Alain-Pierre Manine,unknown
alban,Alban Mancheron,male
albert,Albert Bifet,male
aldo,Aldo Napoli,male
alexandra,Alexandra Degeest,female
alexandre,Alexandre Blansché,male
alexandrina,Alexandrina Rogozan,female
alexis,Alexis Gabadinho,male
ali,Ali Khenchaf,male
alice,Alice Marascu,female
alina,Alina Dia Miron,female
aline,Aline Deruyver,female
aliou,Aliou Boly,unknown
allel,Allel HadjAli,unknown
alpha,Alpha Diallo,female
alzennyr,Alzennyr Da Silva,unknown
amadou,Amadou Fall Dia,unknown
amandine,Amandine Duffoux,female
amar-djalil,Amar-Djalil Mezaour,unknown
amedeo,Amedeo Napoli,male
amel,Amel Bouzeghoub,male
amine,Amine Chaibi,male
amira,Amira Oussalah,female
amjad,Amjad Abou Assali,male
ammar,Ammar Mechouche,male
amyn,Amyn Bennamane,unknown
amélie,Amélie Cordier,female
ana,Ana Simonet,female
anand,Anand Mahajan,male
anass,Anass El Haddadi,male
anastasiya,Anastasiya Yurchyshyna,female
andres,Andres Jacome,male
andré,André Péninou,male
andrés,Andrés Troya-Galvis,male
anh,Anh Phuc Trinh,mostly_female
anicet,Anicet Kouomou Choupo,mostly_male
anna,Anna Kolomoyskaya,female
annabelle,Annabelle Boutet,female
anne,Anne Laurent,female
anne-elisabeth,Anne-Elisabeth Laques,unknown
anne-lise,Anne-Lise Huyet,unknown
anne-marie,Anne-Marie Vercoustre,unknown
anne-sophie,Anne-Sophie Libert,unknown
annick,Annick Castiaux,female
annie,Annie Morin,female
annig,Annig Le Parc - Lacayrelle,female
anouar,Anouar Benhassena,male
anouck,Anouck Bodin-Niemczuk,female
ansaf,Ansaf Salleb-Aouissi,unknown
anthony,Anthony Perez,male
antoine,Antoine Cornuéjols,male
antoni,Antoni Lozano,male
antonio,Antonio Penta,male
aris,Aris Ouksel,male
armelle,Armelle Brun,female
arnaud,Arnaud Soulet,male
arriel,Arriel Benis,unknown
asma,Asma Ben Achour,female
atef,Atef Hamouda,male
athanasiadis,Athanasiadis Marios - Lazaros,unknown
athmane,Athmane Hamel,male
aude,Aude Beauger,female
audrey,Audrey Baneyx,female
augusta,Augusta Mela,female
aurélie,Aurélie Bertaux,female
aurélien,Aurélien Bossard,male
authors,authors,unknown
aydano,Aydano Machado,unknown
aymen,Aymen Elkhlifi,unknown
aymeric,Aymeric Le Dorze,male
ayoub,Ayoub Karine,male
azeddine,Azeddine Beghdadi,unknown
aïcha,Aïcha El Golli,unknown
ba-hung,Ba-Hung Ngo,unknown
badre,Badre Belabbess,unknown
baghdad,Baghdad Atmani,unknown
baptiste,Baptiste Jeudy,male
barbara,Barbara Poulain,female
bart,Bart Goethals,male
bashar,Bashar Saleh,male
bassem,Bassem Makni,male
bastien,Bastien Latard,male
baya,Baya Naouel Barigou,female
belhaj,Belhaj Rhouma Sourour,unknown
beniamino,Beniamino Murgante,male
benjamin,Benjamin Duthil,male
benoit,Benoit Kiene,unknown
benoît,Benoît Otjacques,male
bernadette,Bernadette Bouchon-Meunier,female
bernard,Bernard Dousset,male
bernardo,Bernardo Lopez,male
bernhard,Bernhard Pfahringer,male
bert,Bert C. Huang,male
bertjan,Bertjan Broeksema,male
bertrand,Bertrand Jouve,male
besma,Besma Khalfi,unknown
bich-liên,Bich-Liên Doan,unknown
bilal,Bilal Idiri,male
bilel,Bilel Bouchamia,male
billel,Billel Arres,unknown
bin-hui,Bin-Hui Chou,unknown
birahim,Birahim Gueye,unknown
bissan,Bissan Audeh,unknown
blaise,Blaise Hanczar,male
blandine,Blandine Comte,female
bogdan,Bogdan Moisuc,male
boris,Boris Chidlovskii,male
boulbaba,Boulbaba Ben Amor,unknown
boutheina,Boutheina Ben Yaghlane,unknown
bouziane,Bouziane Beldjilali,unknown
brahim,Brahim Douar,male
brice,Brice Olivier,male
brieuc,Brieuc Conan-Guez,male
brigitte,Brigitte Trousse,female
brivael,Brivael Trelhu,unknown
bruno,Bruno Pinaud,male
budi,Budi Sentana,unknown
béatrice,Béatrice Bouchou,female
bénédicte,Bénédicte Le Grand,female
c.,C. Thao,unknown
camille,Camille Kurtz,mostly_female
carine,Carine Hue,female
carl,Carl Frélicot,male
caroline,Caroline Collet,female
cassio,Cassio Melo,male
catherine,Catherine Faron-Zucker,female
cecilia,Cecilia Zanni,female
celine,Celine Robardet,unknown
celson,Celson Lima,unknown
chabane,Chabane Djeraba,unknown
chahrazed,Chahrazed Bouhini,unknown
chan,Chan Le Duc,mostly_male
chantal,Chantal Reynaud,female
charles,Charles Bouveyron,male
chedi,Chedi Bechikh Ali,unknown
chedy,Chedy Raïssi,unknown
cheikh,Cheikh Niang,unknown
chengcheng,Chengcheng Mu,unknown
cherif,Cherif Chiraz Latiri,male
chiheb-eddine,Chiheb-Eddine Ben N’Cir,unknown
chiraz,Chiraz Latiri,unknown
chongsheng,Chongsheng Zhang,unknown
chowdhury,Chowdhury Farhan Ahmed,unknown
christel,Christel Vrain,female
christelle,Christelle Vangenot,female
christian,Christian Surace,male
christiane,Christiane Guinot,female
christine,Christine Largeron,female
christophe,Christophe Nicolle,male
christopher,Christopher Kermorvant,male
chérif,Chérif Mballo,unknown
ciprian-octavian,Ciprian-Octavian Truica,unknown
claire,Claire François,female
claire-lise,Claire-Lise Mottaz Jiang,unknown
clara,Clara Le Guillou,female
claude,Claude Pasquier,mostly_male
claudia,Claudia Marinica,female
clémence,Clémence Magnien,female
clément,Clément Charnay,male
clémentine,Clémentine Nebut,female
colin,Colin Leverger,male
coriane,Coriane Nana Jipmo,unknown
corinne,Corinne Mandin,female
cristian,Cristian Martinez,male
cristina,Cristina Tîrnauca,female
cristophe,Cristophe Roche,unknown
cyril,Cyril de Runz,male
cyrine,Cyrine Nasri,unknown
cássia,Cássia Trojahn dos Santos,unknown
cécile,Cécile Favre,female
cédric,Cédric Udréa,male
cédrick,Cédrick Fairon,male
célia,Célia Da Costa Pereira,female
céline,Céline Fiot,female
dahbia,Dahbia Semani,unknown
damien,Damien Leprovost,male
dan,Dan A. Simovici,male
dan-mircea,Dan-Mircea Suciu,unknown
dana,Dana Popovici,female
daniel,Daniel Rubin,male
danielle,Danielle Boulanger,female
danièle,Danièle Hérin,female
danny,Danny Lo Seen,male
david,David Genest,male
davide,Davide Buscaldi,male
delphine,Delphine Bernhard,female
denis,Denis Cavallucci,male
dhafer,Dhafer Lahbib,unknown
dhouha,Dhouha Grissa,unknown
dhouha-grissa,Dhouha-Grissa,unknown
didier,Didier Dubois,male
dieudonné,Dieudonné Tchuente,male
dima,Dima Mufti-Alchawafa,female
dimitre,Dimitre Kostadinov,unknown
dino,Dino Ienco,male
djamal,Djamal Belkasmi,unknown
djamel,Djamel Abdelkader Zighed,male
domingo,Domingo S. Rodríguez,male
dominic,Dominic Forest,male
dominique,Dominique Laurent,andy
domoina,Domoina Rabarijaona,unknown
donato,Donato Malerba,male
dong,Dong (Haoyuan) Li,andy
dorra,Dorra Ben Ayed Mezghanni,unknown
doru,Doru Tanasa,male
doulkifli,Doulkifli Boukraâ,unknown
driss,Driss Aboutajdine,male
duc,Duc Kinh Le Tran,mostly_male
dumitru-clementin,Dumitru-Clementin Cercel,unknown
dung,Dung Bui,andy
dylan,Dylan Da Conceicao,mostly_male
edmond,Edmond Lassalle,male
edmundo-pavel,Edmundo-Pavel Soriano-Morales,unknown
eduardo,Eduardo Fraschini,male
edwige,Edwige Fangseu Badjio,female
edwin,Edwin Diday,male
einoshin,Einoshin Suzuki,unknown
ekaterina,Ekaterina Simonenko,female
elena,Elena Cabrio,female
elias,Elias Egho,male
elie,Elie Prudhomme,male
elisa,Elisa Fromont,female
elisabeth,Elisabeth Métais,female
elise,Elise Desmier,female
elod,Elod Egyed-Zsigmond,unknown
eloïse,Eloïse Loubier,unknown
elsa,Elsa Negre,female
elvira,Elvira Romano,female
elyase,Elyase Lassouli,unknown
emanuel,Emanuel Aldea,male
emeric,Emeric Prouteau,male
emilie,Emilie Guimier De Neef,female
emilien,Emilien Perrin,male
emmanuel,Emmanuel Viennet,male
emmanuelle,Emmanuelle Claeys,female
emna,Emna Bahri,unknown
engelbert,Engelbert Mephu Nguifo,male
enric,Enric Ripoll,male
enrique,Enrique Baca-García,male
eric,Eric Kergosien,male
erick,Erick Stattner,male
ernesto,Ernesto Estrada,male
esteban,Esteban Zimányi,male
estelle,Estelle Delpech,female
esther,Esther Galbrun,female
etienne,Etienne Corvée,male
eugen,Eugen Barbu,male
eunika,Eunika Mercier-Laurent,unknown
ewa,Ewa Kijak,female
eya,Eya Ben Ahmed,unknown
fabian,Fabian Suchanek,male
fabien,Fabien Gandon,male
fabio,Fabio Porto,male
fabrice,Fabrice Clérot,male
fabrizio,Fabrizio Gotti,male
fadhela,Fadhela Kerdjoudj,unknown
fadi,Fadi Dornaika,male
fadila,Fadila Bentayeb,female
fadoua,Fadoua Ataa-Allah,unknown
faiza,Faiza Ghozzi,female
fanny,Fanny Chevalier,female
faouzi,Faouzi Boufarès,male
faouzia,Faouzia Benabbou,unknown
faraz,Faraz Zaidi,unknown
farid,Farid Cerbah,male
farida,Farida Admane,female
fatiha,Fatiha Saïs,female
fatima-zahra,Fatima-Zahra Aazi,unknown
fatma,Fatma Bouali,female
fayrouz,Fayrouz Soualah Alila,unknown
fayçal,Fayçal Hamdi,unknown
fazia,Fazia Bellal,unknown
faïez,Faïez Gargouri,unknown
federico,Federico Ulliana,male
fekade,Fekade Getahun,unknown
fethi,Fethi Belghaouti,male
filip,Filip Florea,male
filipe,Filipe Afonso,male
fionn,Fionn Murtagh,male
flavien,Flavien Huynh,male
florence,Florence Le Ber,female
florent,Florent Masseglia,male
florian,Florian Guillochon,male
fosca,Fosca Giannotti,female
fouad,Fouad Badran,male
francesca,Francesca Bugiotti,female
francisco,Francisco de Assis Tenório de Carvalho,male
franck,Franck Ravat,male
francky,Francky Trichet,male
francois,Francois Queyroi,unknown
frank,Frank Meyer,male
françois,François Poulet,male
françois-xavier,François-Xavier Jollois,unknown
françois-élie,François-Élie Calvier,unknown
françoise,Françoise Fessant,female
freddy,Freddy Limpens,male
frederic,Frederic Cherqui,male
frédéric,Frédéric Flouvat,male
frédérique,Frédérique Segond,female
fundulaki,Fundulaki Irini,unknown
gabriel,Gabriel Frey,male
gamze,Gamze Saygi,female
ganaël,Ganaël Jatteau,mostly_male
gaël,Gaël Beck,mostly_male
gaële,Gaële Simon,female
gaëlle,Gaëlle Legrand,female
gaëtan,Gaëtan Blain,male
george,George Portides,male
georges,Georges Hébrail,male
georgis,Georgis Christos,unknown
germain,Germain Forestier,male
ghada,Ghada Landoulsi,female
gianluca,Gianluca Quercini,male
giap,Giap NGuyen,unknown
gilbert,Gilbert Ritschard,male
gildas,Gildas Tagny Ngompé,mostly_male
gilles,Gilles Venturini,male
giuseppe,Giuseppe Berio,male
gouenou,Gouenou Coatrieux,unknown
goverdhan,Goverdhan Singh,unknown
gregory,Gregory Piatetsky-Shapiro,male
grégory,Grégory Smits,male
gu&#776;nce,Gu&#776;nce Keziban Orman,unknown
guilaine,Guilaine Talens,female
guillaume,Guillaume Cleuziou,male
guillem,Guillem Lefait,male
guy,Guy Melançon,male
guénaël,Guénaël Cabanes,unknown
gérald,Gérald Gavin,male
géraldine,Géraldine Polaillon,female
gérard,Gérard Govaert,male
güray,Güray Erus,male
habib,Habib Hadj Mabrouk,male
hacène,Hacène Cherfi,unknown
hadjer,Hadjer Belaicha,unknown
hafdalla,Hafdalla Hammia,unknown
hafida,Hafida Belbachir,female
haikel,Haikel Megrahi,male
haithem,Haithem Ghorbel,unknown
hajer,Hajer Baazaoui Zghal,unknown
hakim,Hakim Hacid,male
hala,Hala Naja,female
hamdi,Hamdi Ben Hamadou,male
hamid,Hamid Azzoune,male
hana,Hana Alouaoui,female
hanane,Hanane Azzag,female
hanen,Hanen Brahmi,unknown
hanine,Hanine Hamzioui,unknown
hans-hermann,Hans-Hermann Bock,unknown
haolin,Haolin Ren,unknown
harold,Harold Vilmart,male
hassan,Hassan Chouaib,male
hassina,Hassina Mouloudi,female
hatem,Hatem Haddad,male
hatim,Hatim Chahdi,male
haïfa,Haïfa Zargayouna,unknown
heikki,Heikki Mannila,male
hela,Hela Masmoudi,female
helen,Helen Purchase,female
hemza,Hemza Ficel,unknown
henda,Henda Ben Ghézala,unknown
henri,Henri Briand,male
henri-maxime,Henri-Maxime Suchier,unknown
herman,Herman Akdag,male
hervé,Hervé Janiaut,male
hicham,Hicham Hajji,male
hippolyte,Hippolyte Léger,male
hiroshi,Hiroshi Ishikawa,male
hoang-tung,Hoang-Tung Tran,unknown
hong,Hong Diep Tran,andy
hosna,Hosna Ouni,unknown
houda,Houda Fyad,female
houssem,Houssem Jerbi,unknown
howard,Howard J. Hamilton,male
huaiguo,Huaiguo Fu,unknown
huaiyu,Huaiyu Fu,unknown
hubert,Hubert Naacke,male
hugo,Hugo Alatrista Salas,male
hunor,Hunor Albert-Lorincz,unknown
husam,Husam Alustwani,male
hussein,Hussein T. Al-Natsheh,male
hélène,Hélène Jaudoin,female
ibrahim,Ibrahim Louhi,male
ibtissem,Ibtissem Cherni,female
idir,Idir Chibane,unknown
ilef,Ilef Ben Slima,unknown
ilham,Ilham Berrada,male
imen,Imen Brahmi,unknown
imène,Imène Brigui-Chtioui,unknown
ines,Ines Fayech,female
inès,Inès Saad,female
ioan,Ioan Marius Bilasco,male
ioanna,Ioanna Giannopoulou,female
ioannis,Ioannis Partalas,male
iona,Iona Vasilescu,female
irina,Irina Diana Coman,female
isabelle,Isabelle Mougenot,female
islem,Islem Denden,unknown
ismail,Ismail Kassou,male
israël-césar,Israël-César Lerman,unknown
issam,Issam Falih,male
iuri,Iuri D. Nogueira,unknown
ivonne,Ivonne Trebs,female
iwo,Iwo Doboszewski,unknown
iwona,Iwona Dudek,female
jacky,Jacky Montmain,male
jacques,Jacques Chauché,male
jacques-henri,Jacques-Henri Sublemontier,unknown
jannaï,Jannaï Tokotoko,unknown
jason,Jason Vallet,male
jean,Jean Lieber,male
jean-baptiste,Jean-Baptiste Bohuon,unknown
jean-benoît,Jean-Benoît Griesner,unknown
jean-charles,Jean-Charles Lamirel,unknown
jean-claude,Jean-Claude Léon,unknown
jean-daniel,Jean-Daniel Zucker,unknown
jean-emile,Jean-Emile Symphor,unknown
jean-françois,Jean-François Boulicaut,unknown
jean-gabriel,Jean-Gabriel Ganascia,unknown
jean-hugues,Jean-Hugues Chenot,unknown
jean-jacques,Jean-Jacques Schneider,unknown
jean-louis,Jean-Louis Ermine,unknown
jean-luc,Jean-Luc Peiry,unknown
jean-marc,Jean-Marc Petit,unknown
jean-marie,Jean-Marie Favreau,unknown
jean-michel,Jean-Michel Cauvin,unknown
jean-paul,Jean-Paul Barthès,unknown
jean-philippe,Jean-Philippe Métivier,unknown
jean-pierre,Jean-Pierre Cahier,unknown
jean-robert,Jean-Robert Kala Kamdjoug,unknown
jean-roch,Jean-Roch Meurisse,unknown
jean-stéphane,Jean-Stéphane Bailly,unknown
jean-yves,Jean-Yves Blaise,unknown
jerry,Jerry Lonlac,male
jerzy,Jerzy Korczak,male
jessica,Jessica Pinaire,female
jesús,Jesús S. Aguilar-Ruiz,mostly_male
jian,Jian Pei,andy
jihem,Jihem Rezgui,unknown
jihen,Jihen Majdoubi,unknown
jim,Jim Hendler,male
jocelyne,Jocelyne Tremenbert,female
johann,Johann Daigremont,male
johannes,Johannes Heinecke,male
john,John Puentes,male
jonathan,Jonathan Dubois,male
jordan,Jordan Frery,male
jorge,Jorge Galicia,male
jose,Jose M. Joemon,male
josep,Josep Daunis-i-Estadella,male
joseph,Joseph Di Martino,male
josiane,Josiane Mothe,female
josé,José L Balcazar,male
joão,João Gama,mostly_male
joël,Joël Boulier,male
juan,Juan David Cruz,male
juan-manuel,Juan-Manuel Torres-Moreno,unknown
jules,Jules Chevalier,male
julie,Julie Bernauer,female
julien,Julien Velcin,male
juliette,Juliette Dibie-Barthélemy,female
